# x1 x2 f1 f2
-3.676768 -0.040404 1.970295 45.001772
-3.676768 0.040404 1.970295 44.477057
-3.676768 0.121212 1.983355 43.913161
-3.676768 0.202020 2.009475 43.310086
-3.676768 0.282828 2.048654 42.667832
-3.676768 0.363636 2.100894 41.986397
-3.676768 0.444444 2.166193 41.265783
-3.676768 0.525253 2.244553 40.505990
-3.676768 0.606061 2.335972 39.707016
-3.676768 0.686869 2.440451 38.868863
-3.676768 0.767677 2.557990 37.991530
-3.676768 0.848485 2.688589 37.075018
-3.676768 0.929293 2.832248 36.119326
-3.676768 1.010101 2.988967 35.124454
-3.676768 1.090909 3.158745 34.090403
-3.676768 1.171717 3.341584 33.017172
-3.676768 1.252525 3.537482 31.904761
-3.676768 1.333333 3.746440 30.753171
-3.676768 1.414141 3.968458 29.562400
-3.676768 1.494949 4.203537 28.332451
-3.676768 1.575758 4.451674 27.063321
-3.676768 1.656566 4.712872 25.755012
-3.676768 1.737374 4.987130 24.407523
-3.676768 1.818182 5.274448 23.020855
-3.676768 1.898990 5.574825 21.595006
-3.676768 1.979798 5.888263 20.129979
-3.676768 2.060606 6.214760 18.625771
-3.676768 2.141414 6.554317 17.082384
-3.676768 2.222222 6.906934 15.499817
-3.676768 2.303030 7.272611 13.878071
-3.676768 2.383838 7.651348 12.217144
-3.676768 2.464646 8.043145 10.517038
-3.676768 2.545455 8.448001 8.777753
-3.676768 2.626263 8.865918 6.999288
-3.676768 2.707071 9.296894 5.181643
-3.676768 2.787879 9.740931 3.324818
-3.676768 2.868687 10.198027 1.428814
-3.676768 2.949495 10.668183 -0.506370
-3.676768 3.030303 11.151399 -2.480734
-3.676768 3.111111 11.647675 -4.494277
-3.676768 3.191919 12.157011 -6.547000
-3.676768 3.272727 12.679406 -8.638903
-3.676768 3.353535 13.214862 -10.769985
-3.676768 3.434343 13.763377 -12.940247
-3.676768 3.515152 14.324953 -15.149689
-3.676768 3.595960 14.899588 -17.398310
-3.676768 3.676768 15.487283 -19.686111
-3.676768 3.757576 16.088038 -22.013092
-3.676768 3.838384 16.701853 -24.379252
-3.676768 3.919192 17.328728 -26.784592
-3.676768 4.000000 17.968663 -29.229112

-3.595960 -4.000000 17.736458 20.419210
-3.595960 -3.919192 17.096523 21.830458
-3.595960 -3.838384 16.469648 23.202526
-3.595960 -3.757576 15.855833 24.535415
-3.595960 -3.676768 15.255078 25.829124
-3.595960 -3.595960 14.667383 27.083654
-3.595960 -3.515152 14.092748 28.299003
-3.595960 -3.434343 13.531172 29.475173
-3.595960 -3.353535 12.982657 30.612164
-3.595960 -3.272727 12.447201 31.709975
-3.595960 -3.191919 11.924806 32.768606
-3.595960 -3.111111 11.415470 33.788057
-3.595960 -3.030303 10.919194 34.768329
-3.595960 -2.949495 10.435978 35.709421
-3.595960 -2.868687 9.965822 36.611333
-3.595960 -2.787879 9.508726 37.474066
-3.595960 -2.707071 9.064689 38.297619
-3.595960 -2.626263 8.633713 39.081992
-3.595960 -2.545455 8.215796 39.827186
-3.595960 -2.464646 7.810940 40.533200
-3.595960 -2.383838 7.419143 41.200034
-3.595960 -2.303030 7.040406 41.827689
-3.595960 -2.222222 6.674729 42.416164
-3.595960 -2.141414 6.322112 42.965459
-3.595960 -2.060606 5.982555 43.475574
