# x1 x2 f1 f2
-2.717172 2.727273 7.880004 -6.014953
-2.717172 2.797980 8.270679 -7.506789
-2.717172 2.868687 8.671352 -9.028622
-2.717172 2.939394 9.082025 -10.580452
-2.717172 3.010101 9.502696 -12.162279
-2.717172 3.080808 9.933366 -13.774103
-2.717172 3.151515 10.374036 -15.415923
-2.717172 3.222222 10.824704 -17.087741
-2.717172 3.292929 11.285371 -18.789556
-2.717172 3.363636 11.756038 -20.521367
-2.717172 3.434343 12.236703 -22.283176
-2.717172 3.505051 12.727367 -24.074981
-2.717172 3.575758 13.228030 -25.896783
-2.717172 3.646465 13.738692 -27.748583
-2.717172 3.717172 14.259354 -29.630379
-2.717172 3.787879 14.790014 -31.542172
-2.717172 3.858586 15.330673 -33.483962
-2.717172 3.929293 15.881331 -35.455749
-2.717172 4.000000 16.441988 -37.457533

-2.646465 -3.000000 9.379497 13.832473
-2.646465 -2.929293 8.960254 14.778170
-2.646465 -2.858586 8.551010 15.693870
-2.646465 -2.787879 8.151765 16.579573
-2.646465 -2.717172 7.762519 17.435279
-2.646465 -2.646465 7.383272 18.260989
-2.646465 -2.575758 7.014024 19.056701
-2.646465 -2.505051 6.654775 19.822416
-2.646465 -2.434343 6.305525 20.558135
-2.646465 -2.363636 5.966273 21.263856
-2.646465 -2.292929 5.637021 21.939581
-2.646465 -2.222222 5.317768 22.585308
-2.646465 -2.151515 5.008514 23.201039
-2.646465 -2.080808 4.709259 23.786773
-2.646465 -2.010101 4.420003 24.342509
-2.646465 -1.939394 4.140745 24.868249
-2.646465 -1.868687 3.871487 25.363992
-2.646465 -1.797980 3.612228 25.829738
-2.646465 -1.727273 3.362968 26.265487
-2.646465 -1.656566 3.123706 26.671239
-2.646465 -1.585859 2.894444 27.046994
-2.646465 -1.515152 2.675181 27.392753
-2.646465 -1.444444 2.465916 27.708514
-2.646465 -1.373737 2.266651 27.994278
-2.646465 -1.303030 2.077385 28.250046
-2.646465 -1.232323 1.898117 28.475816
-2.646465 -1.161616 1.728849 28.671589
-2.646465 -1.090909 1.569579 28.837366
-2.646465 -1.020202 1.420309 28.973146
-2.646465 -0.949495 1.281037 29.078928
-2.646465 -0.878788 1.151765 29.154714
-2.646465 -0.808081 1.032491 29.200503
-2.646465 -0.737374 0.923217 29.216295
-2.646465 -0.666667 0.823941 29.202090
-2.646465 -0.595960 0.734664 29.157888
-2.646465 -0.525253 0.655387 29.083689
-2.646465 -0.454545 0.586108 28.979493
-2.646465 -0.383838 0.526828 28.845300
-2.646465 -0.313131 0.477548 28.681110
-2.646465 -0.242424 0.438266 28.486924
-2.646465 -0.171717 0.408983 28.262740
-2.646465 -0.101010 0.389700 28.008559
-2.646465 -0.030303 0.380415 27.724382
-2.646465 0.040404 0.381129 27.410207
-2.646465 0.111111 0.391842 27.066036
-2.646465 0.181818 0.412554 26.691868
-2.646465 0.252525 0.443266 26.287702
-2.646465 0.323232 0.483976 25.853540
-2.646465 0.393939 0.534685 25.389381
-2.646465 0.464646 0.595393 24.895225
-2.646465 0.535354 0.666100 24.371072
-2.646465 0.606061 0.746806 23.816922
-2.646465 0.676768 0.837511 23.232775
-2.646465 0.747475 0.938215 22.618631
-2.646465 0.818182 1.048918 21.974491
-2.646465 0.888889 1.169620 21.300353
-2.646465 0.959596 1.300321 20.596218
-2.646465 1.030303 1.441021 19.862087
-2.646465 1.101010 1.591720 19.097958
-2.646465 1.171717 1.752418 18.303832
-2.646465 1.242424 1.923115 17.479710
-2.646465 1.313131 2.103810 16.625591
-2.646465 1.383838 2.294505 15.741474
-2.646465 1.454545 2.495199 14.827361
-2.646465 1.525253 2.705892 13.883251
-2.646465 1.595960 2.926584 12.909144
-2.646465 1.666667 3.157274 11.905040
-2.646465 1.737374 3.397964 10.870939
-2.646465 1.808081 3.648653 9.806841
-2.646465 1.878788 3.909340 8.712746
-2.646465 1.949495 4.180027 7.588654
-2.646465 2.020202 4.460713 6.434565
-2.646465 2.090909 4.751397 5.250480
-2.646465 2.161616 5.052081 4.036397
-2.646465 2.232323 5.362764 2.792318
-2.646465 2.303030 5.683445 1.518241
-2.646465 2.373737 6.014126 0.214168
-2.646465 2.444444 6.354805 -1.119903
-2.646465 2.515152 6.705484 -2.483970
-2.646465 2.585859 7.066161 -3.878034
-2.646465 2.656566 7.436838 -5.302096
-2.646465 2.727273 7.817513 -6.756154
-2.646465 2.797980 8.208188 -8.240209
-2.646465 2.868687 8.608861 -9.754261
-2.646465 2.939394 9.019533 -11.298310
-2.646465 3.010101 9.440205 -12.872356
-2.646465 3.080808 9.870875 -14.476398
-2.646465 3.151515 10.311544 -16.110438
-2.646465 3.222222 10.762213 -17.774475
-2.646465 3.292929 11.222880 -19.468509
-2.646465 3.363636 11.693546 -21.192539
-2.646465 3.434343 12.174211 -22.946567
-2.646465 3.505051 12.664876 -24.730591
-2.646465 3.575758 13.165539 -26.544613
-2.646465 3.646465 13.676201 -28.388631
-2.646465 3.717172 14.196862 -30.262646
-2.646465 3.787879 14.727522 -32.166658
-2.646465 3.858586 15.268181 -34.100668
-2.646465 3.929293 15.818839 -36.064674
-2.646465 4.000000 16.379497 -38.058677

-2.575758 -3.000000 9.315132 12.494206
-2.575758 -2.929293 8.895889 13.447373
-2.575758 -2.858586 8.486645 14.370543
-2.575758 -2.787879 8.087400 15.263717
-2.575758 -2.717172 7.698154 16.126893
-2.575758 -2.646465 7.318907 16.960072
-2.575758 -2.575758 6.949659 17.763254
-2.575758 -2.505051 6.590410 18.536440
-2.575758 -2.434343 6.241160 19.279628
-2.575758 -2.363636 5.901909 19.992820
-2.575758 -2.292929 5.572656 20.676014
-2.575758 -2.222222 5.253403 21.329212
-2.575758 -2.151515 4.944149 21.952412
-2.575758 -2.080808 4.644894 22.545616
-2.575758 -2.010101 4.355638 23.108823
-2.575758 -1.939394 4.076381 23.642033
-2.575758 -1.868687 3.807122 24.145246
-2.575758 -1.797980 3.547863 24.618462
-2.575758 -1.727273 3.298603 25.061681
-2.575758 -1.656566 3.059341 25.474903
-2.575758 -1.585859 2.830079 25.858128
-2.575758 -1.515152 2.610816 26.211356
-2.575758 -1.444444 2.401551 26.534588
-2.575758 -1.373737 2.202286 26.827822
-2.575758 -1.303030 2.013020 27.091059
-2.575758 -1.232323 1.833752 27.324300
-2.575758 -1.161616 1.664484 27.527543
-2.575758 -1.090909 1.505214 27.700790
-2.575758 -1.020202 1.355944 27.844040
-2.575758 -0.949495 1.216672 27.957292
-2.575758 -0.878788 1.087400 28.040548
-2.575758 -0.808081 0.968126 28.093807
-2.575758 -0.737374 0.858852 28.117069
-2.575758 -0.666667 0.759576 28.110334
-2.575758 -0.595960 0.670300 28.073602
-2.575758 -0.525253 0.591022 28.006873
-2.575758 -0.454545 0.521743 27.910147
-2.575758 -0.383838 0.462464 27.783424
-2.575758 -0.313131 0.413183 27.626704
-2.575758 -0.242424 0.373901 27.439988
-2.575758 -0.171717 0.344619 27.223274
-2.575758 -0.101010 0.325335 26.976564
-2.575758 -0.030303 0.316050 26.699856
