# ИСХОДНЫЕ ТОЧКИ
3.739280 -1.504676
3.742240 -1.289722
3.745200 -1.074768
3.748160 -0.859815
3.751120 -0.644861
3.754080 -0.429907
3.757040 -0.214954
3.760000 -0.000000


# ТОЧКА ИНТЕРПОЛЯЦИИ
1.285000 26.024685
